"Compound Name","Compound Formula","Ksp Value"
aluminium hydroxide,Al(OH)3,3.0 × 10-34
aluminium phosphate,AlPO4,9.8 × 10-21
barium bromate,Ba(BrO3)2,2.4 × 10-4
barium carbonate,BaCO3,2.6 × 10-9
barium chromate,BaCrO4,1.2 × 10-10
barium fluoride,BaF2,1.8 × 10-7
barium hydroxide octahydrate,Ba(OH)2 · 8H2O,2.6 × 10-4
barium iodate,Ba(IO3)2,4.0 × 10-9
barium iodate monohydrate,Ba(IO3)2 · H2O,1.7 × 10-9
barium molybdate,BaMoO4,3.5 × 10-8
barium nitrate,Ba(NO3)2,4.6 × 10-3
barium selenate,BaSeO4,3.4 × 10-8
barium sulfate,BaSO4,1.1 × 10-10
barium sulfite,BaSO3,5.0 × 10-10
beryllium hydroxide,Be(OH)2,6.9 × 10-22
bismuth arsenate,BiAsO4,4.4 × 10-10
bismuth iodide,BiI,7.7 × 10-19
cadmium arsenate,Cd3(AsO4)2,2.2 × 10-33
cadmium carbonate,CdCO3,1.0 × 10-12
cadmium fluoride,CdF2,6.4 × 10-3
cadmium hydroxide,Cd(OH)2,7.2 × 10-15
cadmium iodate,Cd(IO3)2,2.5 × 10-8
cadmium oxalate trihydrate,CdC2O4 · 3H2O,1.4 × 10-8
cadmium phosphate,Cd3(PO4)2,2.5 × 10-33
cadmium sulfide,CdS,1.0 × 10-27
caesium perchlorate,CsClO4,4.0 × 10-3
caesium periodate,CsIO4,5.1 × 10-6
calcium carbonate (calcite),CaCO3,3.4 × 10-9
calcium carbonate (aragonite),CaCO3,6.0 × 10-9
calcium fluoride,CaF2,3.5 × 10-11
calcium hydroxide,Ca(OH)2,5.0 × 10-6
calcium iodate,Ca(IO3)2,6.5 × 10-6
calcium iodate hexahydrate,Ca(IO3)2 · 6H2O,7.1 × 10-7
calcium molybdate,CaMoO,1.5 × 10-8
calcium oxalate monohydrate,CaC2O4 · H2O,2.3 × 10-9
calcium phosphate,Ca3(PO4)2,2.1 × 10-33
calcium sulfate,CaSO4,4.9 × 10-5
calcium sulfate dihydrate,CaSO4 · 2H2O,3.1 × 10-5
calcium sulfate hemihydrate,CaSO4 · 0.5H2O,3.1 × 10-7
cerium(III) iodate,Ce(IO3)3,1.4 × 10-11
cobalt(II) arsenate,CO3(AsO4)2,6.8 × 10-29
cobalt(II) carbonate,CoCO3,1.0 × 10-10
cobalt(II) hydroxide (blue),Co(OH)2,5.9 × 10-15
cobalt(II) iodate dihydrate,Co(IO3)2 · 2H2O,1.2 × 10-2
cobalt(II) phosphate,CO3(PO4)2,2.1 × 10-35
cobalt(II) sulfide (alpha),CoS,5.0 × 10-22
cobalt(II) sulfide (beta),CoS,3.0 × 10-26
copper(I) bromide,CuBr,6.3 × 10-9
copper(I) chloride,CuCl,1.7 × 10-7
copper(I) cyanide,CuCN,3.5 × 10-20
copper(I) iodide,CuI,1.3 × 10-12
copper(I) thiocyanate,CuSCN,1.8 × 10-13
copper(II) arsenate,Cu3(AsO4)2,8.0 × 10-36
copper(II) hydroxide,Cu(OH)2,4.8 × 10-20
copper(II) iodate monohydrate,Cu(IO3)2 · H2O,6.9 × 10-8
copper(II) oxalate,CuC2O4,4.4 × 10-10
copper(II) phosphate,Cu3(PO4)2,1.4 × 10-37
copper(II) sulfide,CuS,8.0 × 10-37
chromium(III) iodate,Cr(IO3)3,5.0 × 10-6
europium(III) hydroxide,Eu(OH)3,9.4 × 10-27
gallium(III) hydroxide,Ga(OH)3,7.3 × 10-36
iron(II) carbonate,FeCO3,3.1 × 10-11
iron(II) fluoride,FeF2,2.4 × 10-6
iron(II) hydroxide,Fe(OH)2,4.9 × 10-17
iron(II) sulfide,FeS,8.0 × 10-19
iron(III) hydroxide,Fe(OH)3,2.8 × 10-39
iron(III) iodate,Fe(IO3)3,4.0 × 10-8
iron(III) phosphate dihydrate,FePO4 · 2H2O,9.9 × 10-16
lanthanum iodate,La(IO3)3,7.5 × 10-12
lead(II) bromide,PbBr2,6.6 × 10-6
lead(II) carbonate,PbCO3,7.4 × 10-14
lead(II) chloride,PbCl2,1.7 × 10-5
lead(II) chromate,PbCrO4,3.0 × 10-13
lead(II) fluoride,PbF2,3.3 × 10-8
lead(II) hydroxide,Pb(OH)2,1.4 × 10-20
lead(II) iodate,Pb(IO3)2,3.7 × 10-13
lead(II) iodide,PbI2,9.8 × 10-9
lead(II) oxalate,PbC2O4,8.5 × 10-9
lead(II) selenate,PbSeO4,1.4 × 10-7
lead(II) sulfate,PbSO4,2.5 × 10-8
lead(II) sulfide,PbS,3.0 × 10-28
lithium carbonate,Li2CO3,8.2 × 10-4
lithium fluoride,LiF,1.8 × 10-3
lithium phosphate,Li3PO4,2.4 × 10-4
magnesium ammonium phosphate,MgNH4PO4,3.0 × 10-13
magnesium carbonate,MgCO3,6.8 × 10-6
magnesium carbonate trihydrate,MgCO3 · 3H2O,2.4 × 10-6
magnesium carbonate pentahydrate,MgCO3 · 5H2O,3.8 × 10-6
magnesium fluoride,MgF2,5.2 × 10-11
magnesium hydroxide,Mg(OH)2,5.6 × 10-12
magnesium oxalate dihydrate,MgC2O4 · 2H2O,4.8 × 10-6
magnesium phosphate,Mg3(PO4)2,1.0 × 10-24
manganese(II) carbonate,MnCO3,2.2 × 10-11
manganese(II) iodate,Mn(IO3)2,4.4 × 10-7
manganese(II) hydroxide,Mn(OH)2,2.0 × 10-13
manganese(II) oxalate dihydrate,MnC2O4 · 2H2O,1.7 × 10-7
manganese(II) sulfide (pink),MnS,3.0 × 10-11
manganese(II) sulfide (green),MnS,3.0 × 10-14
mercury(I) bromide,Hg2Br2,6.4 × 10-23
mercury(I) carbonate,Hg2CO3,3.6 × 10-17
mercury(I) chloride,Hg2Cl2,1.4 × 10-18
mercury(I) fluoride,Hg2F2,3.1 × 10-6
mercury(I) iodide,Hg2I2,5.2 × 10-29
mercury(I) oxalate,Hg2C2O4,1.75 × 10-13
mercury(I) sulfate,Hg2SO4,6.5 × 10-7
mercury(I) thiocyanate,Hg2(SCN)2,3.2 × 10-20
mercury(II) bromide,HgBr2,6.2 × 10-20
mercury(II) hydroxide,Hg(OH)2,3.6 × 10-26
mercury(II) iodide,HgI2,2.9 × 10-29
mercury(II) sulfide (black),HgS,2.0 × 10-53
mercury(II) sulfide (red),HgS,2.0 × 10-54
neodymium carbonate,Nd2(CO3)3,1.1 × 10-33
nickel(II) carbonate,NiCO3,1.4 × 10-7
nickel(II) hydroxide,Ni(OH)2,5.5 × 10-16
nickel(II) iodate,Ni(IO3)2,4.7 × 10-5
nickel(II) phosphate,Ni3(PO4)2,4.7 × 10-32
nickel(II) sulfide (alpha),NiS,4.0 × 10-20
nickel(II) sulfide (beta),NiS,1.3 × 10-25
palladium(II) thiocyanate,Pd(SCN)2,4.4 × 10-23
potassium hexachloroplatinate,K2PtCl6,7.5 × 10-6
potassium perchlorate,KClO4,1.1 × 10-2
potassium periodate,KIO4,3.7 × 10-4
